created_at,district,established_year,has_computer_lab,internet_connectivity,is_active,pincode,primary_language,school_id,school_name,school_type,state,student_capacity
2023-05-18T20:04:00.000Z,Thane,1971,true,mobile_data,true,470036,Hindi,101,Thane Municipal School No. 101,Municipal,Maharashtra,1617
2023-09-04T22:18:00.000Z,Hubli,1978,true,limited,true,529442,Hindi,102,Hubli Navodaya Vidyalaya No. 102,Navodaya,Karnataka,434
2022-08-09T19:28:00.000Z,Kollam,2014,true,limited,true,666387,Regional,103,Kollam Navodaya Vidyalaya No. 103,Navodaya,Kerala,503
2022-06-06T21:04:00.000Z,Rajkot,1996,false,mobile_data,true,369441,Hindi,104,Rajkot Municipal School No. 104,Municipal,Gujarat,1116
2022-12-04T09:26:00.000Z,Bengaluru,1993,false,limited,true,566606,Hindi,105,Bengaluru Government High School No. 105,Government,Karnataka,497
2023-05-09T13:54:00.000Z,Asansol,2008,true,broadband,true,716743,Hindi,106,Asansol Model School No. 106,Model,West Bengal,889
2023-09-29T06:38:00.000Z,Hubli,1987,false,none,false,558176,Regional,107,Hubli Navodaya Vidyalaya No. 107,Navodaya,Karnataka,535
2023-11-05T18:04:00.000Z,Lucknow,1989,false,mobile_data,true,245818,English,108,Lucknow Government Secondary School No. 108,Government,Uttar Pradesh,1739
2023-08-05T08:56:00.000Z,Chennai,1994,true,mobile_data,true,679531,Hindi,109,Chennai Government High School No. 109,Government,Tamil Nadu,740
2023-03-01T14:13:00.000Z,Pune,2013,true,mobile_data,true,490981,Hindi,110,Pune Government Secondary School No. 110,Government,Maharashtra,401
2022-08-14T18:38:00.000Z,Hyderabad,1988,false,limited,true,566349,Hindi,111,Hyderabad Municipal School No. 111,Municipal,Telangana,527
2023-03-17T11:08:00.000Z,Mumbai,1978,false,mobile_data,true,449507,English,112,Mumbai Government Secondary School No. 112,Government,Maharashtra,732
2022-02-13T19:01:00.000Z,Ajmer,2005,false,none,true,340161,English,113,Ajmer Model School No. 113,Model,Rajasthan,1324
2022-11-29T11:51:00.000Z,Thiruvananthapuram,2006,true,limited,true,685465,English,114,Thiruvananthapuram Municipal School No. 114,Municipal,Kerala,1179
2023-02-10T15:47:00.000Z,Jabalpur,1997,false,mobile_data,true,457428,Hindi,115,Jabalpur Model School No. 115,Model,Madhya Pradesh,480
2022-12-26T10:15:00.000Z,Howrah,2002,false,limited,true,732037,English,116,Howrah Municipal School No. 116,Municipal,West Bengal,456
2023-10-06T21:29:00.000Z,Mysuru,2008,true,limited,false,535856,English,117,Mysuru Municipal School No. 117,Municipal,Karnataka,655
2022-06-04T20:04:00.000Z,Ujjain,2011,false,limited,true,499277,Regional,118,Ujjain Kendriya Vidyalaya No. 118,Kendriya,Madhya Pradesh,1456
2022-02-08T07:23:00.000Z,Thrissur,1987,false,mobile_data,true,649691,English,119,Thrissur Model School No. 119,Model,Kerala,1930
2022-02-12T20:58:00.000Z,Lucknow,2008,false,mobile_data,true,221835,Hindi,120,Lucknow Model School No. 120,Model,Uttar Pradesh,1559
2022-12-18T08:32:00.000Z,Indore,2002,true,broadband,true,489299,English,121,Indore Municipal School No. 121,Municipal,Madhya Pradesh,1274
2023-02-23T16:43:00.000Z,Chennai,2003,false,broadband,true,667377,Hindi,122,Chennai Government Secondary School No. 122,Government,Tamil Nadu,1199
2023-11-04T10:21:00.000Z,Bhopal,1974,true,limited,true,494843,Hindi,123,Bhopal Model School No. 123,Model,Madhya Pradesh,985
2022-03-28T15:35:00.000Z,Belgaum,1989,false,limited,true,528537,Hindi,124,Belgaum Model School No. 124,Model,Karnataka,1016
2022-01-19T17:19:00.000Z,Udaipur,2013,false,broadband,true,397833,Hindi,125,Udaipur Government Secondary School No. 125,Government,Rajasthan,1739
2023-06-04T22:02:00.000Z,Coimbatore,1984,false,broadband,true,673736,English,126,Coimbatore Municipal School No. 126,Municipal,Tamil Nadu,693
2022-06-19T20:02:00.000Z,Siliguri,1979,true,none,true,788282,Regional,127,Siliguri Government Secondary School No. 127,Government,West Bengal,1071
2022-11-13T21:57:00.000Z,Udaipur,2009,true,limited,true,341133,Hindi,128,Udaipur Model School No. 128,Model,Rajasthan,1209
2022-06-15T12:51:00.000Z,Vadodara,1999,false,limited,true,384766,Hindi,129,Vadodara Model School No. 129,Model,Gujarat,1202
2022-05-08T15:05:00.000Z,Indore,2000,false,limited,true,416839,English,130,Indore Municipal School No. 130,Municipal,Madhya Pradesh,1613
2022-01-28T19:03:00.000Z,Madurai,1997,true,none,true,677286,Regional,131,Madurai Kendriya Vidyalaya No. 131,Kendriya,Tamil Nadu,601
2023-10-28T16:50:00.000Z,Ajmer,1975,true,broadband,true,340903,Regional,132,Ajmer Municipal School No. 132,Municipal,Rajasthan,1090
2022-01-06T08:01:00.000Z,Coimbatore,2000,false,broadband,true,647601,Regional,133,Coimbatore Government High School No. 133,Government,Tamil Nadu,1999
2022-02-18T13:26:00.000Z,Kanpur,2008,false,broadband,true,281932,English,134,Kanpur Government Secondary School No. 134,Government,Uttar Pradesh,1789
2022-10-26T19:00:00.000Z,Jabalpur,2008,false,limited,true,424530,Hindi,135,Jabalpur Government High School No. 135,Government,Madhya Pradesh,1323
2023-06-23T22:50:00.000Z,Gwalior,1981,false,broadband,true,484798,Regional,136,Gwalior Government Secondary School No. 136,Government,Madhya Pradesh,1153
2022-03-11T17:15:00.000Z,Khammam,1972,false,none,true,561177,English,137,Khammam Government High School No. 137,Government,Telangana,1262
2023-12-03T20:44:00.000Z,Belgaum,1972,true,mobile_data,true,553583,Hindi,138,Belgaum Model School No. 138,Model,Karnataka,573
2022-11-20T15:32:00.000Z,Kochi,1999,true,mobile_data,true,618270,Regional,139,Kochi Government Secondary School No. 139,Government,Kerala,1766
2022-12-06T14:07:00.000Z,Ajmer,2011,true,mobile_data,true,343202,Regional,140,Ajmer Kendriya Vidyalaya No. 140,Kendriya,Rajasthan,374
2023-06-16T14:51:00.000Z,Asansol,1991,false,mobile_data,true,767637,Hindi,141,Asansol Kendriya Vidyalaya No. 141,Kendriya,West Bengal,1091
2022-11-10T20:38:00.000Z,Mangaluru,1981,false,mobile_data,true,566440,English,142,Mangaluru Government High School No. 142,Government,Karnataka,1533
2022-10-09T07:04:00.000Z,Jodhpur,1998,true,none,false,368183,Hindi,143,Jodhpur Model School No. 143,Model,Rajasthan,1019
2022-03-10T13:49:00.000Z,Udaipur,1971,true,limited,true,399051,Regional,144,Udaipur Navodaya Vidyalaya No. 144,Navodaya,Rajasthan,627
2022-03-20T10:33:00.000Z,Durgapur,2008,true,mobile_data,true,784349,Hindi,145,Durgapur Kendriya Vidyalaya No. 145,Kendriya,West Bengal,366
2023-07-30T09:16:00.000Z,Asansol,1985,false,broadband,true,795139,English,146,Asansol Municipal School No. 146,Municipal,West Bengal,870
2023-04-08T11:57:00.000Z,Agra,2014,false,mobile_data,true,290199,English,147,Agra Government Secondary School No. 147,Government,Uttar Pradesh,884
2022-06-11T11:50:00.000Z,Thiruvananthapuram,1992,false,limited,true,651889,English,148,Thiruvananthapuram Model School No. 148,Model,Kerala,1667
2023-04-24T10:39:00.000Z,Siliguri,1978,true,mobile_data,true,725907,Hindi,149,Siliguri Government Secondary School No. 149,Government,West Bengal,711
2022-11-21T08:28:00.000Z,Bengaluru,2000,false,limited,true,562187,Regional,150,Bengaluru Municipal School No. 150,Municipal,Karnataka,1768
2022-02-26T09:33:00.000Z,Kollam,2005,false,broadband,true,626821,Regional,151,Kollam Municipal School No. 151,Municipal,Kerala,1997
2022-03-22T14:12:00.000Z,Madurai,2015,true,none,true,631229,Hindi,152,Madurai Government Secondary School No. 152,Government,Tamil Nadu,960
2022-06-07T11:42:00.000Z,Nizamabad,2009,false,limited,true,591922,English,153,Nizamabad Government Secondary School No. 153,Government,Telangana,920
2022-08-04T19:39:00.000Z,Ujjain,1971,true,none,true,483874,Regional,154,Ujjain Municipal School No. 154,Municipal,Madhya Pradesh,384
2022-11-01T20:04:00.000Z,Nashik,2011,false,mobile_data,true,481509,Regional,155,Nashik Model School No. 155,Model,Maharashtra,893
2022-12-20T18:08:00.000Z,Pune,1999,true,limited,true,464476,Hindi,156,Pune Kendriya Vidyalaya No. 156,Kendriya,Maharashtra,1291
2022-10-25T18:55:00.000Z,Siliguri,1985,false,mobile_data,true,723917,English,157,Siliguri Navodaya Vidyalaya No. 157,Navodaya,West Bengal,953
2023-06-12T20:31:00.000Z,Jabalpur,1990,false,limited,true,430932,English,158,Jabalpur Government Secondary School No. 158,Government,Madhya Pradesh,1966
2022-10-16T21:38:00.000Z,Agra,2002,false,mobile_data,true,221802,Hindi,159,Agra Government High School No. 159,Government,Uttar Pradesh,1105
2022-02-16T18:03:00.000Z,Kozhikode,1997,true,mobile_data,true,611071,Hindi,160,Kozhikode Navodaya Vidyalaya No. 160,Navodaya,Kerala,520
2023-10-01T09:08:00.000Z,Ujjain,1988,true,limited,true,457516,Regional,161,Ujjain Government Secondary School No. 161,Government,Madhya Pradesh,1433
2022-02-16T07:08:00.000Z,Mangaluru,1993,false,broadband,true,554444,Hindi,162,Mangaluru Municipal School No. 162,Municipal,Karnataka,1442
2023-02-07T15:37:00.000Z,Asansol,2008,false,broadband,true,769898,Regional,163,Asansol Navodaya Vidyalaya No. 163,Navodaya,West Bengal,605
2022-04-23T19:37:00.000Z,Siliguri,2015,false,mobile_data,true,779774,English,164,Siliguri Navodaya Vidyalaya No. 164,Navodaya,West Bengal,1303
2023-08-21T21:10:00.000Z,Lucknow,2011,false,limited,true,272205,Hindi,165,Lucknow Navodaya Vidyalaya No. 165,Navodaya,Uttar Pradesh,843
2023-03-28T16:26:00.000Z,Khammam,2013,true,limited,true,529369,Regional,166,Khammam Kendriya Vidyalaya No. 166,Kendriya,Telangana,1982
2022-03-05T10:33:00.000Z,Salem,2002,false,none,true,636724,Regional,167,Salem Model School No. 167,Model,Tamil Nadu,1140
2023-07-14T17:43:00.000Z,Bhavnagar,2003,true,none,true,396799,Hindi,168,Bhavnagar Municipal School No. 168,Municipal,Gujarat,1279
2022-10-23T12:44:00.000Z,Allahabad,1987,false,mobile_data,true,235200,Regional,169,Allahabad Kendriya Vidyalaya No. 169,Kendriya,Uttar Pradesh,804
2023-02-09T17:49:00.000Z,Kozhikode,1987,true,limited,true,655718,Hindi,170,Kozhikode Kendriya Vidyalaya No. 170,Kendriya,Kerala,1447
2022-07-26T14:59:00.000Z,Madurai,1975,true,mobile_data,true,647700,English,171,Madurai Government High School No. 171,Government,Tamil Nadu,1762
2022-08-27T07:06:00.000Z,Nizamabad,2007,true,broadband,true,524316,Regional,172,Nizamabad Government Secondary School No. 172,Government,Telangana,1560
2023-02-21T21:30:00.000Z,Udaipur,2013,false,broadband,true,371918,Hindi,173,Udaipur Model School No. 173,Model,Rajasthan,505
2022-02-08T11:26:00.000Z,Vadodara,1973,false,broadband,true,347409,Hindi,174,Vadodara Municipal School No. 174,Municipal,Gujarat,1622
2022-12-10T15:29:00.000Z,Chennai,1988,false,broadband,true,674930,Hindi,175,Chennai Kendriya Vidyalaya No. 175,Kendriya,Tamil Nadu,681
2023-10-26T14:45:00.000Z,Khammam,1999,true,none,true,527589,Hindi,176,Khammam Kendriya Vidyalaya No. 176,Kendriya,Telangana,1332
2023-02-20T19:32:00.000Z,Chennai,1988,false,limited,true,654185,English,177,Chennai Model School No. 177,Model,Tamil Nadu,1919
2023-01-28T13:28:00.000Z,Kolkata,1981,false,mobile_data,true,797720,Regional,178,Kolkata Kendriya Vidyalaya No. 178,Kendriya,West Bengal,495
2022-05-02T20:19:00.000Z,Varanasi,2006,true,limited,true,286344,Hindi,179,Varanasi Municipal School No. 179,Municipal,Uttar Pradesh,1780
2022-08-15T13:08:00.000Z,Salem,1989,false,limited,true,675866,Regional,180,Salem Model School No. 180,Model,Tamil Nadu,1740
2022-08-12T13:43:00.000Z,Kochi,1996,false,none,true,689395,Regional,181,Kochi Kendriya Vidyalaya No. 181,Kendriya,Kerala,1065
2023-06-02T12:36:00.000Z,Bhopal,2015,true,none,true,468556,English,182,Bhopal Navodaya Vidyalaya No. 182,Navodaya,Madhya Pradesh,1381
2023-06-07T20:51:00.000Z,Warangal,1998,true,mobile_data,true,553007,Hindi,183,Warangal Government Secondary School No. 183,Government,Telangana,1365
2022-01-23T18:16:00.000Z,Nashik,1999,false,limited,true,477272,Hindi,184,Nashik Government Secondary School No. 184,Government,Maharashtra,1150
2022-03-12T21:02:00.000Z,Pune,1997,true,broadband,true,419572,Regional,185,Pune Navodaya Vidyalaya No. 185,Navodaya,Maharashtra,392
2023-01-27T20:55:00.000Z,Agra,2011,false,limited,false,227750,Hindi,186,Agra Government Secondary School No. 186,Government,Uttar Pradesh,1868
2023-02-07T22:08:00.000Z,Kota,2004,true,none,false,399486,English,187,Kota Government High School No. 187,Government,Rajasthan,1655
2023-04-17T17:09:00.000Z,Ahmedabad,2013,false,mobile_data,true,349107,Hindi,188,Ahmedabad Government High School No. 188,Government,Gujarat,1248
2022-07-31T08:06:00.000Z,Kanpur,2012,true,limited,true,224790,Regional,189,Kanpur Model School No. 189,Model,Uttar Pradesh,365
2023-07-07T12:48:00.000Z,Bhopal,2015,false,mobile_data,true,488352,English,190,Bhopal Kendriya Vidyalaya No. 190,Kendriya,Madhya Pradesh,1676
2022-11-06T10:42:00.000Z,Pune,2006,true,limited,true,447914,Hindi,191,Pune Navodaya Vidyalaya No. 191,Navodaya,Maharashtra,779
2023-11-27T19:35:00.000Z,Warangal,1973,false,limited,true,549387,Regional,192,Warangal Kendriya Vidyalaya No. 192,Kendriya,Telangana,863
2023-01-21T11:48:00.000Z,Thiruvananthapuram,1994,false,mobile_data,true,694320,Hindi,193,Thiruvananthapuram Municipal School No. 193,Municipal,Kerala,1674
2023-03-03T22:08:00.000Z,Karimnagar,2015,true,mobile_data,true,539536,English,194,Karimnagar Government Secondary School No. 194,Government,Telangana,915
2022-07-15T07:17:00.000Z,Jodhpur,2011,true,mobile_data,true,336651,Hindi,195,Jodhpur Municipal School No. 195,Municipal,Rajasthan,976
2022-08-02T16:19:00.000Z,Ajmer,1982,false,limited,true,315183,Hindi,196,Ajmer Navodaya Vidyalaya No. 196,Navodaya,Rajasthan,449
2022-09-03T16:49:00.000Z,Pune,2000,false,limited,true,425376,Regional,197,Pune Government Secondary School No. 197,Government,Maharashtra,1829
2023-04-26T16:58:00.000Z,Agra,1992,true,mobile_data,true,279946,Regional,198,Agra Kendriya Vidyalaya No. 198,Kendriya,Uttar Pradesh,1628
2023-08-22T19:18:00.000Z,Vadodara,2006,false,limited,true,364254,English,199,Vadodara Municipal School No. 199,Municipal,Gujarat,393
2022-09-21T21:46:00.000Z,Coimbatore,2006,false,mobile_data,true,640149,Hindi,200,Coimbatore Municipal School No. 200,Municipal,Tamil Nadu,1077
